order_id,customer_id,order_date
O1,C4729,2024-01-01 00:00:00
O2,C2272,2024-01-01 00:10:00
O3,C624,2024-01-01 00:20:00
O4,C1888,2024-01-01 00:30:00
O5,C430,2024-01-01 00:40:00
O6,C131,2024-01-01 00:50:00
O7,C4225,2024-01-01 01:00:00
O8,C4678,2024-01-01 01:10:00
O9,C3940,2024-01-01 01:20:00
O10,C3185,2024-01-01 01:30:00
O11,C1059,2024-01-01 01:40:00
O12,C1326,2024-01-01 01:50:00
O13,C4926,2024-01-01 02:00:00
O14,C2644,2024-01-01 02:10:00
O15,C3827,2024-01-01 02:20:00
O16,C779,2024-01-01 02:30:00
O17,C3305,2024-01-01 02:40:00
O18,C25,2024-01-01 02:50:00
O19,C514,2024-01-01 03:00:00
O20,C2092,2024-01-01 03:10:00
O21,C3323,2024-01-01 03:20:00
O22,C70,2024-01-01 03:30:00
O23,C1637,2024-01-01 03:40:00
O24,C1074,2024-01-01 03:50:00
O25,C1608,2024-01-01 04:00:00
O26,C882,2024-01-01 04:10:00
O27,C612,2024-01-01 04:20:00
O28,C4083,2024-01-01 04:30:00
O29,C1331,2024-01-01 04:40:00
O30,C3953,2024-01-01 04:50:00
O31,C3439,2024-01-01 05:00:00
O32,C4358,2024-01-01 05:10:00
O33,C774,2024-01-01 05:20:00
O34,C2987,2024-01-01 05:30:00
O35,C2235,2024-01-01 05:40:00
O36,C1234,2024-01-01 05:50:00
O37,C76,2024-01-01 06:00:00
O38,C3692,2024-01-01 06:10:00
O39,C2828,2024-01-01 06:20:00
O40,C2116,2024-01-01 06:30:00
O41,C3930,2024-01-01 06:40:00
O42,C1253,2024-01-01 06:50:00
O43,C1409,2024-01-01 07:00:00
O44,C4563,2024-01-01 07:10:00
O45,C1332,2024-01-01 07:20:00
O46,C1854,2024-01-01 07:30:00
O47,C4084,2024-01-01 07:40:00
O48,C4588,2024-01-01 07:50:00
O49,C4279,2024-01-01 08:00:00
O50,C263,2024-01-01 08:10:00
O51,C1574,2024-01-01 08:20:00
O52,C2187,2024-01-01 08:30:00
O53,C3401,2024-01-01 08:40:00
O54,C4111,2024-01-01 08:50:00
O55,C3234,2024-01-01 09:00:00
O56,C1147,2024-01-01 09:10:00
O57,C3457,2024-01-01 09:20:00
O58,C1079,2024-01-01 09:30:00
O59,C4407,2024-01-01 09:40:00
O60,C398,2024-01-01 09:50:00
O61,C2638,2024-01-01 10:00:00
O62,C4565,2024-01-01 10:10:00
O63,C1185,2024-01-01 10:20:00
O64,C2335,2024-01-01 10:30:00
O65,C117,2024-01-01 10:40:00
O66,C2750,2024-01-01 10:50:00
O67,C2784,2024-01-01 11:00:00
O68,C46,2024-01-01 11:10:00
O69,C1099,2024-01-01 11:20:00
O70,C185,2024-01-01 11:30:00
O71,C2120,2024-01-01 11:40:00
O72,C3618,2024-01-01 11:50:00
O73,C1348,2024-01-01 12:00:00
O74,C2496,2024-01-01 12:10:00
O75,C4342,2024-01-01 12:20:00
O76,C116,2024-01-01 12:30:00
O77,C1456,2024-01-01 12:40:00
O78,C4471,2024-01-01 12:50:00
O79,C3527,2024-01-01 13:00:00
O80,C3776,2024-01-01 13:10:00
O81,C987,2024-01-01 13:20:00
O82,C238,2024-01-01 13:30:00
O83,C3879,2024-01-01 13:40:00
O84,C159,2024-01-01 13:50:00
O85,C990,2024-01-01 14:00:00
O86,C2493,2024-01-01 14:10:00
O87,C3800,2024-01-01 14:20:00
O88,C2950,2024-01-01 14:30:00
O89,C2496,2024-01-01 14:40:00
