shipment_id,order_id,status,shipped_at,delivered_at
S1,O1,shipped,2024-01-02 00:00:00,2024-01-04 09:00:00
S2,O2,pending,2024-01-02 00:10:00,2024-01-04 04:10:00
S3,O3,shipped,2024-01-02 00:20:00,2024-01-04 00:20:00
S4,O4,pending,2024-01-02 00:30:00,2024-01-04 02:30:00
S5,O5,delivered,2024-01-02 00:40:00,2024-01-04 08:40:00
S6,O6,shipped,2024-01-02 00:50:00,2024-01-04 10:50:00
S7,O7,shipped,2024-01-02 01:00:00,2024-01-04 06:00:00
S8,O8,shipped,2024-01-02 01:10:00,2024-01-04 01:10:00
S9,O9,shipped,2024-01-02 01:20:00,2024-01-04 04:20:00
S10,O10,shipped,2024-01-02 01:30:00,2024-01-04 02:30:00
S11,O11,pending,2024-01-02 01:40:00,2024-01-04 10:40:00
S12,O12,pending,2024-01-02 01:50:00,2024-01-04 06:50:00
S13,O13,pending,2024-01-02 02:00:00,2024-01-04 10:00:00
S14,O14,delivered,2024-01-02 02:10:00,2024-01-04 09:10:00
S15,O15,pending,2024-01-02 02:20:00,2024-01-04 07:20:00
S16,O16,shipped,2024-01-02 02:30:00,2024-01-04 07:30:00
S17,O17,delivered,2024-01-02 02:40:00,2024-01-04 08:40:00
S18,O18,pending,2024-01-02 02:50:00,2024-01-04 02:50:00
S19,O19,shipped,2024-01-02 03:00:00,2024-01-04 12:00:00
S20,O20,shipped,2024-01-02 03:10:00,2024-01-04 03:10:00
S21,O21,shipped,2024-01-02 03:20:00,2024-01-04 06:20:00
S22,O22,shipped,2024-01-02 03:30:00,2024-01-04 10:30:00
S23,O23,pending,2024-01-02 03:40:00,2024-01-04 06:40:00
S24,O24,pending,2024-01-02 03:50:00,2024-01-04 09:50:00
S25,O25,delivered,2024-01-02 04:00:00,2024-01-04 08:00:00
S26,O26,delivered,2024-01-02 04:10:00,2024-01-04 09:10:00
S27,O27,pending,2024-01-02 04:20:00,2024-01-04 10:20:00
S28,O28,shipped,2024-01-02 04:30:00,2024-01-04 04:30:00
